,text_tokens,text_length
0,,0
37,весь привет искать человек направление информатика вычислительный техника информационный система технология хотеть узнать обучение задать вопрос отписать лайкам,18
38,нибыть знать принимать зачёт неелов,5
39,найти мышь дежито,3
40,мочь решить задача экономика отписаться пж коммент вознаграждение препод слан п,11
41,весь привет хотеть узнать мочь знать факультет перевестись ваш вуз учиться приборостроение анон,13
42,усм з первак беспокоить хотеть задать пара вопрос экзамен,9
43,сдавать враг реферат физр лайнкнит пост оставить коммент пж хотеть задать вопрос анон,13
44,мочь волынкин помочь нужно буквально пара момент лаба исправить,9
45,искать человек который помочь компас версия,6
46,ч ткай лка буфет первый этаж,6
47,потерянный телефон бонч телефон находиться вахта,6
48,мочь активатор офис винд знать скачать,6
49,мочь помочь курсовой тэц кубалов р лс,7
50,найти синий чип холл лифт слева кпп отдать пост охрана,10
51,аноннна уход академ семестр получаться предмет сдать задолженность оставаться приход академ подсказать,12
52,анон подсказать сложно уйти академ магистратура семейный обстоятельство требоваться документ заявление,11
53,ребята контроллер мб хотеть выступить число часик бонус диджей лс написать захотеть обменять контроллер топовый миди клавиатура,17
54,приветствовать весь бжд вести лекция принимать зач кулинкович просить ответить просить каждый пропустить лекция писать реферат страница приносить распечатать вид сделать,21
55,делать курсовой никитин ю схемотехник лаба направлять среда дмитриев далее,10
56,найти шапка отнести стенд вход этаж переход,7
57,написать коммент параллельно учёба инфобезе покупать дополнительно онлайн курс нужно проконсультироваться анонимно,12
58,новогодний гирлянда лк новогодний настроение,5
59,потерять страховка оставить принтер,4
60,этаж корпус,2
61,потерять флешка виноградный,3
62,оставить зарядка мак эт корп центральный переход,7
63,найти телефон оставить пост охрана,5
64,потеряшка,1
65,искать человек который сделать пара работка компас написать мнн лайкнуть пост,11
66,опупенный шапка ныне покоиться вместе весь бог забытый потеряшка пост охрана,11
67,весь привет факультет простой весь учиться маленький весь душить анон,10
68,лежать стол преподаватель,3
69,одинокий флешка ждать свой владелец выдвижной шкаф тумба,8
70,простой весь связаться скалецкий лк отвечать анонимно,7
71,забыть лежать подоконник вход бонч охранник брать отказаться,8
72,найти флешка владелец просьба отписаться лс,6
73,тачка класс,2
74,бонч этаж рядом гардероб норма санпин,6
75,мочь сделать лаба машин зависимый язык программирование ассемблер быстро деньга лайк коммент,12
76,найти пропуск оставить охрана,4
77,подсказать сдать долг матана физика сложно очень даваться предмет дубеня полный дотянуть второй курс сдавать физика передистовый начало год продвинуться математика сдавать манилов прошлый семестр вообще никак мочь посоветовать подготовиться приходить вс голова смешиваться мочь нормально ответить простой вопрос заучивать сказать практика вс сложно посоветовать лс,46
78,искать человек который помочь компас,5
79,найти корпус этаж отнести гардероб,5
80,найти бск вход территория бонч оставить охранник вход,8
81,анон мочь подскзазать выдавать характеристика кандидат вуц спрашивать понятие иметь бумажка,11
82,подсказать знать обычно появляться график зимний сессия анонимно,8
83,найти этаж корпус конец день отнести стенд вход,8
84,анон сдавать экзамен сеть гвоздкова сдавать рассказать принимать сложно,9
85,потеряшка,1
86,мочь внятно объяснить отопление бонкий аудитория невозможно находиться пара сократить,10
87,привет рассказать проходить зачёт теория вероятный мкртычян анонимно,8
88,найти подвеска кпп данный момент находиться пункт охрана,8
89,история вести воронов знать проходить контрольный семестр,7
90,найти шарф оставить,3
91,найти чубзик столовка корпус второй этаж идти матан отписаться чей,10
92,весь привет предстоять комиссия дискретный математика просьба отписать лс хотеть позадавать вопрос очень признательный,14
93,найти флешка файл указание фио автор лежать,7
94,вчера вечером найти автомат чаемый этаж корпус правый сторона,9
95,наслать наушник выход бонч,4
96,чь наш л оставить анонимно,5
97,добрый день найти тетрадь столовая второй этаж лежать стенд второй корпус,11
98,,0
99,ребята принимать зачёт вообще нужно делать задание сдать отдельно работа дать,11
100,мочь помочь курсовой работа мопередавать устройство,6
101,хотеть нибыть познакомиться девчонка сходить свидание небольшой рассказ учиться первый курс иктс человек общительный сказать простой стараться открытый принимать чужой критика свой адрес нравиться заниматься спорт больший теннис год заниматься год фигурный катание любить читать книга детектив биография зв зд парень любить видеоигра играть редко большой хотеть гулять вещь который очень привлекать кулинария приятно смотреть мастер делать приятно готовить дальнейший редко готовить киноман большой знать вс кино посмотреть обычно смотреть животное комедийный серь зный проект любить рисовать большой срисовывать требовать усилие ухаживать цвета вообще кайф смотреть чудо глаз радоваться писать стих стараться развивать сторона пока тяжело ида нравиться путешествовать смотреть разный инфраструктура город целое любить музей театр филармония слушать курить пить нравиться видеть смысл предпочесть газировка вода хороший весь сок лёд елси заинтересовать писать очень рад общение,127
102,мышь,1
103,хотеть нибыть познакомиться девчонка сходить свидание небольшой рассказ учиться первый курс иктс человек общительный сказать простой стараться открытый принимать чужой критика свой адрес нравиться заниматься спорт больший теннис год заниматься год фигурный катание любить читать книга детектив биография зв зд парень любить видеоигра играть редко большой хотеть гулять вещь который очень привлекать кулинария приятно смотреть мастер делать приятно готовить дальнейший редко готовить киноман большой знать вс кино посмотреть обычно смотреть животное комедийный серь зный проект любить рисовать большой срисовывать требовать усилие ухаживать цвета вообще кайф смотреть чудо глаз радоваться писать стих стараться развивать сторона пока тяжело ида нравиться путешествовать смотреть разный инфраструктура город целое любить музей театр филармония слушать курить пить нравиться видеть смысл предпочесть газировка вода хороший весь сок лёд елси заинтересовать писать очень рад общение,127
104,хотеться узнать проходить комиссия зач предмет метрология технический регулирование,9
105,,0
106,аудитория,1
107,человек который мочь помочь дискретный математика денежка помочь подготовиться комиссия,10
108,кабинет забыть наушник забрать кафедра высокий математика,7
109,неделя назад найти зонт место находка находиться кафедра ирв зайти забрать помещение открыто писать личка,15
110,забыть зонт,2
111,привет студент готовый помочь написание расчёт создание программа писать,9
