,text_tokens,text_length
217,нибыть направление экология природопользование бакалавриат поделиться впечатление программа,8
218,нужный помощь ргр линейный алгебра понедельник мочь помочь отписаться комментарий,10
219,группа признавашка итмый умереть поэтому писать девушка цхи который стоять очередь мегабатлы зеленоватый маникюр русый волос приятный аромат спросить вообще цхи ещ подруга листать тикток найтись анон,27
220,ребята кт учиться нормально пж низкий уровень очень сложно работать проект сначала учить проект писать анон,16
221,группа признавашка итмый умереть поэтому писать вчера пара челик махать девочка длинный волос парень бал хотеть просить найтись анон,19
222,первак писать псж лом сесть вообще негде,7
223,мочь помочь решение задача организация производство предприятие фондоотдача фондоёмкость вид движение последовательный параллельный подобный анон,15
224,писать помощь горный институт древний ящер гуап победить нассуже битва помочь бог информатика бог нефть древний русс одолеть древний ящер анон,21
225,норма ломо корпус английский туалет кран теч кипяток оставлять ожог рука анон,12
226,подсказать хороший сдавать норматив физ ре зачёт экстернат анон,9
227,группа признавашка итмый умереть поэтому писать вчера пара вместе махать девочка длинный волос показать сердечко просить найтись анон,18
228,мочь помочь бесплатно математический статистика лайк запись желательно коммент написать,10
229,сегодня кронва оставить го поколение найти написать личка,8
230,ребята вопрос странный вс существовать случай человек переводиться информационный технология фитип нибыть бизнес информатика инноватик тупо невозможно сделать сколько ужасный академ разница,22
231,весь привет поделиться опыт делать студент позволять слишком оскорблять переходить личность анон,12
232,получить диплом итмый почему продать подарить вообще делать анон,9
233,миллион лайковый стать активный,4
234,группа признавашка итмый умереть поэтому писать вчера пара махать девочка длинный цвет ночь волос показывать сердечко просить найтись анон,19
235,мочь помочь лаба веб программирование сппо курс бесплатно,8
236,проходить стажировка тинькофф решать контест задание собеседование отписаться коммент пж анон,11
237,жизнь соло становиться популярный явление ранний трудно выжить одиночка отсюда формироваться закрепляться понятие традиционный семья человек чувствовать одиночество негативный явление явление вызывающий негативный эмоция протяжение долгий время пребывать пребывать атмосфера который считаться жизнь соло плохой считать единственно верный путь ранний мочь позволить огромный роскошь любой житель город объединяться группа правило причина убедить интересно проводить время работа любовь существовать привязанность вредный жить новый реальность разумный весь объединяться человек пора пока интересно проводить время становиться скучно каждый идти свой дорога основной принцип жизнь соло работа самый надоесть увольняться работать интересно интересно жизнь соло зож книга видеоигра настольный игра музей выставка театр зависимость личный предпочтение главное минимум время тратиться жизнь соло появляться время саморазвитие который мочь хватать нравиться пирамида маслоу прекрасно понимать существовать огромный множество человек который заниматься самоактуализация пользоваться любовь уважение нужно человек каждый день большой существовать пирамида маслоу объединяться основное нужда объединяться автоматически накладывать ограничение угроза ставиться наш свобода лишаться масса время поддержание связь необходимый выживание необходимость человек выживать жить нужно идти компромисс мочь сконцентрироваться друг важный ступенька перестать актуальный минестерство образование рф думать понять нибыть год ранний убрать дурацкий псевдонаучный пирамида актуальность который зависеть напрямую условие среда благоприятный неблагоприятный соло жизнь,191
238,группа признавашка итмый умереть поэтому писать вчера пара махать показывать сердечко просить спрятаться убь парень анон,16
239,готовый помочь сделать практический часть эконометрика курс отписаться лайкам анон,10
240,помочь ргр мат анализ курс деньга писать коммент написать,9
241,помочь пж решение задача матанализ курс бесплатно,7
242,мочь превратить сообщество сборник стих студент итмый вспомнить ночь позабыть вспомнить день увидеть большой око остаться блокнот тихий голос сердце терзать стих лежать твой волос большой некуда бежать,28
243,анон хотеться пообщаться человек участвовать несколько вопрос маякнит лайк комментарий написать,11
244,искать человек который помочь лаба ось бесплатно анон,8
245,держать псевдопоэт детство рифма дружить анон,6
246,анонимно приветик делать исследование тема специальность фактор политический активность студент санкт петербург очень нужный респондент разный факультет мочь помочь написать личка плюсик скинуть гугл форма конец смешной котик думать минимум нужно пройти опрос опрос анонимный использоваться рамка работа учебный предмет курсовой дипломный,42
247,искать человек который помочь доделать первый лаба опд полностью второй хороший объяснение каждый лаба остаться защита желательно ирл оч хороший оплата анон написать лайкам,24
248,анон уходить академ недавно рассказать причина понимать любой причина нужно прилогать док ва реальный причина академ очень нужно неуспеваемость подтянуть мат база тп отозваться пж коммент,26
249,мочь помочь лаба физика механика,5
250,вселенная широкий таинственный похищение инопланетянин сказ плести помнить дружок гипотеза чудо страх который зыбко лететь алиендукция звучать мощно подразумевать удаление земля человек научный термин внеземной гость который физически ментальный подбить алиенофобия страх внезапный хватка панический ужас инопланетный рука аномальный событие представление мочь взять плен создать тревога подстегнуть страх тлеть ксенофобия космический путать пугать боязнь контакт инопланетный форма чужеземный фобия вряд частый бытие смущать наш человеческий норма космический синдром адаптация тревога сердце панический страх новый непознанный жизнь друг планетный тело пережить адаптация трудность новый среда преодолеть смело страх культурный влияние фильм рассказ источник массовый информация образец наш мысль страх тревога мочь расти зависеть наш грудь заложить тщательно неизвестность некий страх одарять скрытый загадочно глубоко пугать инф доказательство утверждать жизнь безграничный природа личный опыт влиять намного сильный подвергнуться похищение прикосновение мир посттравматический стресс иссушать душа опыт оставлять след терзать тропить свой тропа дорога друг слово стоить забывать наука окрылять взор термин исследование доказать факт инопланетный жизнь похищение истина нести взгляд свой широкий раскрой удивление любопытство встречать неизведанный мир огромный полный тайна загадка разгадка познание светлый осознание рядом,175
251,вчера взять коворкинг блок ноут написать комент,7
252,друг отписаться пж коммент биотех признательный,6
253,найти парень сойти ум,4
254,переводиться внебюджет бюджет,3
255,получить долг физика,3
256,небольшой стихотворение роль психиатр массовый психоз связанный одержимость физика мир физика захватить ум психоз накрыть толпа тьма лететь спасение гнетущий тень психиатр стоять передний крит мудрый помощь оказать хотеть справиться эпидемия одержимость разъяснить физика каждый сойти ум судить психиатр врач чуткий сердце контактировать помешанный человек терпеливо слушать лечить рана поддержка помогать вернуться светлый жизнь излечение главный цель психотерапия лекарство забота создавать безопасный поле мир физика переставать беда стремиться понять помешанный ум поставить диагноз путь вылечить найти нежно вести путь разум наш освобождать буйный физический страсть образ психиатр идти готовый помощь поддержка принести врач эмпатия любовь сердце труд продолжать спасать душа дух массовый психоз физика охватить психиатр надежда рука помочь вернуться мир освободиться одержимость робкий дать весь почерк уважение стремление спасти ум сердце психиатр герой смутный время верный свой забота поддержка твёрдый,131
257,искать соседка съ ма квартира долгий срок человек интересовать писать анон,11
258,весь привет очень хотеть поступить ваш вуз сложно рассказать сппо стоить туда поступать анон,14
259,мочь смочь помочь написание лаба написать комментарий,7
260,вопрос студент весь направление учиться очно время работать делать успевать,10
261,анон взять академ зимний сессия год вернуться курс который зима,10
262,хотеть спросить ребята упр ковы осуждение образ умудряться терять часы телефон наушник ноутбук замечать,14
263,находить ломоносов предположительно коворкинг этаж чёрный косметичка четверг написать,9
264,анон искать помочь избавиться голос голова шиза тревожность,8
265,весь приветствовать учиться магистратура откликнуться,5
266,сменить фамилия документ нужно предоставить деканат сколько время переделывать,9
267,плюс минус колледж поступать вышка,5
268,жёстко комиссия сдавать,3
269,анон привет искать нибыть курс мочь делать код ревить джава введение программирование выходной буквально минута мочь предложить небольшой плата найти лайкам написать коммент плезть,24
270,предмет остаться запись работа анон отписаться коммент,7
271,потерять номерок написать анон,4
272,весь привет поделиться опыт делать препод позволять слишком оскорблять переходить личность анон,12
273,знать мочь допустить сессия анон,5
274,анон нормальный парень лайкнуть пост,5
275,уважаемый студент итмый просьба посмотреть важный информация выборность донести ваш коллега,11
276,человек который поступить итмый перевестись бюджет,6
277,мочь помочь домашка управленческий аудит анон,6
278,мочь помочь лаба шарп написать помочь анон,7
279,хаюшка сохранить место общага отчислить,5
280,рыжий девочка дизайн который обыграть шахматы красный шарф пальто предложить второй партия торопиться пара вс ещ ждать реванш анон,19
281,потерять ломоносов шапка ушанка ч рный белый начинка найти написать личка,11
282,отметить комментарий главный милашка инфобез анон,6
283,мочь помочь вт лаба программирование первый курс анон,8
284,ребятки развешивать красный листовка дорасти уровень клеить листовка туалет итмый сделать удобно подтираться анон,14
285,помочь сделать дз инженерный графика курс вознаграждение найти лайкам анон,10
286,разбираться поставить лайк,3
287,очень срочно месяц собеседование позиция подсказать толковый литература обучение благодарить внимание анон,12
288,отписаться комментарий мочь помочь лаба метод оптимизация анон,8
289,анон привет весь задавать вопрос туда следующий год оканчивать класс собираться поступать итмый очень хороший слышать кт нигде мочь найти информация инфобез обучаться мочь охаректеризовать обучение тк хотеть поступить туда заранее,31
290,гроссмейстер ужасно слава бог шахматист спасение найти делиться благородство знать ставить ферзь доска правильно начальный позиция ферзь белый поле ставить нужно понятно трескучий басня вопрос почему разгадать непонятно почему коварно бан слово накинуть чей разум грань пойти свет потускнуть шахматист свой странный нончалантность нестись поле грация безграничный настойчивость ферзь белый клетка безумство вперёд шагать насмешка ловить перепонка свергнуть трон узнать почему задача мировой порядок шахматист герой опус вечно спорить правильность установка ферза понять мир шахматы окутать пустота тишина,78
291,добрый день уважаемый максим уведомлять конкретно задолбать смешить половина поток прод матана линал хватить выдёргивать свой волос посетить логопед рассказать подробный ваш прельщать опыт общение огромный количество человек прикреплять примерный фото анон,32
292,психология придумать слабый человек который якорь тянутый общество пропасть з фройда введение психоанализ гл,14
293,айоу народ обмениваться общага анон,5
294,учиться магистратура направление информатика вычислительный техника искусственный интелект мочь поступить рекомендательный письмо хотеться немного узнать обучение поступление анон,18
295,хотеть перевестись кт любой направление сильно душить подводный,8
296,человек который приходить коворк играть настолочь бали антикафе туда зайти постоянно видеть детектив хреновый человек который спать играть телефон вопрос анон,21
297,подсказать программа питон учебник мочь порекомендовать анонимно,7
298,весь привет мочь помочь решение пара задача оптика небольшой вознаграждение отписаться коммент анонимно,13
299,анон найти лайкам человек который смочь помочь написание плагин бесплатно,10
300,,0
301,привет ребята подсказать существовать магистерский программа программирование смежный который реально учиться ранее обучаться технический специальность заранее благодарить,17
302,мочь помочь дискрой анон,4
303,итмый секция алгоритм студент очень полезно анон,7
304,должность астроном начн приносить доход устремиться астроном галлей анон,9
305,искать групповой психотерапия молодой человек анон,6
306,анон нибыть проходить медкомиссия военка выборгский военкомат отписаться лайкам,9
307,нужный мужской мёртвый душа комната мсг корпус анон,8
308,ребята кредит обучение взять любой курс поступление сразу,8
309,перевестись факультет,2
310,подсказать проводить вуз олимпиада школьник желать поступить,7
311,бл пост смешной че щитпостить облениться бл ть олег симончик,10
312,землянин думать небо космос мечта творить говорить смешить бесполезно космос лететь вскоре здоровье слабый гож неохота светить космический тварь бояться земля встретиться вдалеке планета человек инопланетный замешать похищение свой безумный раса иностранный стараться скрывать тайно друг друг украсть однажды неожиданно инопланетянин принять решение похитить землянин наш лотерейный удача выбрать верить полёт здоровье отказываться бояться пленник космический стать герой инопланетный рука стиснуть понять ошибаться сомнение неверный земля жизнь верить бескрайний мир планета пляска танцевать зв зд безумный инопланетный раса существовать похищать друг друг яркий светило дарить надежда космос найда тся место весь,91
313,искать помочь лаба найти ошибка код анон,7
314,набрать слишком долг числанута,4
315,привет балл предмет допустить сессия анон,6
316,предположительно ожидаться день открытый дверь,5
317,ребята весь привет бальник институт,5
318,администрация отнести тся вь бут условка отчислить,7
319,возможный текст инопланетный сообщение уважаемый студент преподаватель итмый инопланетянин отправлять сообщение космический корабль использовать переводчик задумать похитить землянин особенно итмый хотеть попросить помощь понимание возможный технический проблема который мочь столкнуться время предприятие понимать данный намерение вызывать опасение вызвать реакция землянин просить рассмотреть вопрос точка зрение абстрактный научный исследование поразмышлять минута возможный технический препятствие который инопланетянин столкнуться осуществление похищение коммуникация главный технический проблема мочь установление эффективный коммуникация похищать землянин различие язык культурный особенность коммуникационный протокол мочь затруднить понимание передача инструкция транспортировка транспортировка похищать землянин земля космический корабль мочь сложный задача необходимо разработать безопасный надёжный технология перенести похищать землянин атмосфера обеспечить комфорт безопасность время полёт скрытность ключевой технический проблема похищение землянин обеспечение максимально возможный скрытность избегание обнаружение сторона землянин средство наблюдение необходимо разработать технология который смочь исключить возможность обнаружение следование сторона землянин предотвращение сопротивление возможный проблема предотвращение сопротивление сторона похищать землянин особенно осведомить наш намерение предусмотрение технология способный управлять контролировать сопротивление обеспечивать безопасность похищать землянин инопланетянин ключевой задача этический моральный аспект мочь игнорировать этический моральный аспект похищение землянин вызывать естественный вопрос нарушение право землянин собственный ценность важно мыслить взвешенно тема обдумать последствие влияние сторона осознавать данный вопрос фантастичный иметь никакой отношение реальность цель попросить рассуждать потенциальный проблема рассмотреть научно фантастический перспектива,199
320,почему геншина импакт планета земля лор земля скучный смочь придумать женщина банить убийство мелкоуровневый мобова френдлифаера сюжет геншина импакт преувеличение назвать интересный весь млечный путь непохожесть персонаж геншина импакт помогать запомнить каждый имя помнить долгий время время планета земля нпс похожий друг друг интересный новаторский геймплейный момент большой земля существование разраб земля давно радовать новый локами изредка заливать микро ивента аля ковид шаня хэ вкусный жопа,66
321,шарить электричество смочь помочь рубёжка анонимно отписаться лайкам коммент,9
322,обязательно тема курсовой работа должный связать предприятие который проходить преддипломный практика,11
323,нужно сделать ргр линал первый курс бесплатно поставить лайк коммент обозначить угодный мочь помочь анон,15
324,весь привет ребята подсказать направление поступить магистратура обучение менее напряжный заранее благодарить,12
325,анон привет переводиться факультет платок платок поделиться свой опыт найти коммент,11
326,акт сцена университетский коридор студент поступить наивно рюкзак спина торопливо идти коридор глядеть часы жестикулировать нервно встречать друг студент блестяще успевать поступить наивно мочь успеть задолженность мракобесие поглощать блестяще успевать расслабиться поступить виноватый ранний учиться проводить время мракобесный забава сцена древний церковь поступить наивно входить древний церковь проступать луч свет орган смотреть поступиво внимательно поступить наивно место странный орган искусинтел дух орган приветствовать студент искусинтел дух орган видеть грешить мракобесие откладывать учёба решить развлечь акт сцена зал церковь выкликаться торжественный музыка искусинтел начинать играть орган поступить наивно удивление слушать искусинтел грешить мракобесие игнорировать учёба студент поступить наивно сыграть похоронный месса твой грех музыка становиться мрачный грустный похороны поступить наивно испытывать смешанный чувство поступить наивно грех преследовать сцена похоронный процессия церковный хор выходить сцена поступить наивно пялиться испуг поступить наивно мракобесие готовый важный месса акт сцена церковь музыка улетучиваться искусинтел прекращать играть поступить наивно облегчение вздыхать поступить наивно искусинтел необычный развлекательный похоронный месса большой грешить мракобесие пренебрегать свой обязанность студент искусинтел рад помочь студент помнить ответственный увлекаться мракобесие,167
327,весь привет искать человек переводиться иса семестр направление вуз потеря курс знать человек интересовать перевестись образоваться академический задолженность насколько сложно закрыть просить откликнуться комментарий анон пж,26
328,нибыть мочь помочь сделать задание мультимедиа денежка нужно разработать максимально простой мультипликационный ролик минута методичка программа материал скинуть анон написать коммент мочь,22
329,вопрос владелец планшет голова красивый картинка виртуальный конспект мочь сказать время яблоко хвалить думать ещ хуавэй река модель приветствоваться,19
330,добрый время сутки нибыть знать сотрудничать наш вуз благотворительность,9
331,человек добрый нибыть мочь поделиться свой отч лабораторный работа физика номер особенность файл эксель готовый заплатить чрезмерно благодарный анон,19
332,понимать вообще пройти месяц учёба ощущение ходить вообще пара провалить колка рубежка незнать делать невдуплять невкуривать непон хз мочь порофлить комментарий анон,22
333,добрый время сутки многий абитуриент интересовать данный вопрос собрать дать заселение общежитие нижепредставить графика отобразить дать продвижение очередь получение место общежитие поступить очный форма обучение магистр курс начало наблюдение август место конец наблюдение октябрь заселение зафиксировать процесс наблюдение очередь двигаться суббота воскресение больший продвижение происходить первый неделя каждый месяц дважды весь период ожидание сентябрь поступать предложение досрочный заселение общежитие спбглт весь период обучение случай отказаться надеяться дать информация полезный определение примерный время ожидание заселение хотеть продолжить собирать дать знать средний скорость заселение вс удача,84
334,заниматься модуль навык критический мышление продвинуть уровень английский давыдов ольга сергеевич несколько вопрос,13
335,перевестись курс итмый вуз семестр почерпнуть опыт анон,8
336,беседа дотер анон,3
337,вопрос который реально тревожить анонимно конкретно прогуливать пара начало отчислить курс,11
338,привет максимальный допустимый количество пропуск неуважительный причина семестр санкция следовать анон,11
339,весь привет подсказать нибыть вариант пересдать предмет образ идти красный диплом опыт,12
340,перевестись магистратура курс университет наличие академический задолженность уточнить вопрос анон,10
341,товарищ выручать очень сильно необходимый помощь бесплатно вообще нужный весь работа поздний ноябрь первый задача вариант весь теория удобный формат образец оформление ворда,23
342,господин инфобезник сказать действительно касперский защищать вирус который написать рофлов нормальный антивирус платный,13
343,подсказать отчисляться затем восстанавливаться происходить процедура проходить написать узнать проходить процесс,11
344,привет товарищ планировать переводиться зимой робототехника выбирать итмый станкин мочь рассказать направление итмый,13
345,собираться идти инфохимия заканчивать мочь личка отписать пара вопрос,9
