,id_поста,text_tokens,text_length,preprocessed_comments
0,19966,добрый день товарищ астролог объявлять сезон гик каждый возможность поучаствовать конкурс побороться билет категория аналог фестиваль фанкон правило придумать мем гиковсковать тематика каждый участник выбираться мем мем кидать коммент пост конкурс проводиться сентябрь включительно победитель выбрать состав админовый электромем совместно организатор фестиваль фанкон приз место билет суприма место скидка билет место скидка билет скидка распространяться билет класс эконом группа фестиваль группа организатор продажа билет удача весь участник,67,"[('', 0), ('', 0), ('', 0), ('', 0)]"
1,20545,напоминать сегодня последний день подача заявка конкурс закрепа,8,[]
2,20543,,0,[]
3,20542,,0,[]
4,20531,,0,[]
5,20529,,0,[]
6,20516,,0,"[('ювелир', 1), ('', 0)]"
7,20515,,0,"[('', 0)]"
8,20508,,0,"[('домой', 1), ('экспириенс обучение вечерний время сбить график сон', 7)]"
9,20502,,0,"[('', 0)]"
10,20495,народ накидать халявный значок халявный пост хотеть посмотреть работать кидать мем который большой нрав,14,"[('отправить значок забавно', 3), ('новый прогрев гоев', 3), ('офигеть вк найти новый способ брать деньга', 7)]"
11,20481,,0,"[('', 0), ('пояснить первый курс', 3), ('', 0), ('крутой мем взять', 3), ('получить зачёт отправлять мем теория игра китайский фаера чат', 9)]"
12,20480,,0,[]
13,20468,,0,"[('дело ситуация типичный письмо многий препод попадать спам спам лежать письмо колинько поздняков лев подписать мочь исправить почта поменять поддержка мейл написать', 22)]"
14,20466,прим понятно очень интересно,4,[]
15,20453,давать дружно вспомнить великое достижение русов лэти произойти прошлый год сей пора прославлять завидовать наш изобретательность территория враг,18,[]
16,20442,,0,"[('основа структура устройство', 3), ('проектирование дискретный статистика', 3), ('основа дискретный структура', 3), ('защита дискретный статистика', 3), ('защита вероятность схема', 3), ('теория схемотехнический статистика', 3), ('автоматизация сложно функциональный прибор', 4), ('система искусственный система', 3), ('программирование блок устройство', 3), ('метод интегральный система', 3), ('защита вычислительный система', 3), ('основа искусственный электротехника', 3), ('программирование электронный устройство', 3), ('сеть прибор алгоритм', 3)]"
17,20437,идти слух игра часть кастомный режим ввести утро независимо событие прийти грязнов артём юриевич,14,[]
18,20432,брат русый мудрый дерево наслать проклятие ваш сила искоренить зараза восстановить былой мудрость величие наш мудрый дерево провести святой обряд исцеление печатать картинка формат заменить погань проклятый высасывать сила землица русский корень наш дерево,34,"[('исцелить мудрый дерево получить слава признание скинуть результат предложка опубликовать подпись', 11), ('дерево клуб хотеть пустить потусить епт', 6), ('', 0)]"
19,20424,,0,[]
20,20419,лэтишникнуть помнить стараться год,4,"[('', 0), ('', 0), ('', 0)]"
21,20418,первый пара первокурсник,3,[]
22,20408,,0,[]
23,20396,,0,"[('уютный', 1), ('унитазоход нравиться', 2), ('', 0), ('', 0), ('еба скибидти туалет новый уровень выйти', 6)]"
24,20395,,0,"[('думать пора запускать конкурс', 4)]"
25,20390,лэти открыться новый пекарня чайхана,5,"[('ваха автор мем объявиться приглашать чай плюшка', 7), ('пекарня арт мъ', 3)]"
26,20387,однажды эрнест хемингуэй поспорить смочь написать самый короткий рассказ способный растрогать любой выиграть спор,14,"[('ержан вставать учёба пора', 4)]"
27,20383,,0,"[('исцелиться остаться фкть', 3), ('лэтишник издеваться', 2), ('обман произош л', 3)]"
28,20380,анон,1,[]
29,20374,иван иванович холод отправиться командировка луна новый абитуриент,8,"[('роскосмос ужаснуться увидеть последний кадр аппарат луна крушение', 8), ('уехать теплица утопия', 3), ('', 0)]"
30,20373,,0,"[('фредди фазбер', 2), ('уч ные лэти изобрести симулятор допёс', 6), ('тоннель уха наушник гениально', 4), ('', 0)]"
31,20359,,0,"[('хаахахвхвха', 1), ('привет читаемый закрепа', 3), ('дааа', 1)]"
32,20354,лэти предоставлять доступ инновация наш студент инновация,7,"[('славка', 1), ('мем смешной осуждать', 3), ('унитазоход сын', 2), ('двигатель стиральный машина втф', 4), ('топчик', 1)]"
33,20348,,0,"[('справа', 1), ('справа', 1)]"
34,20342,,0,"[('', 0)]"
35,20339,,0,[]
36,20334,,0,"[('хз пара знать плойка говорить', 5), ('ема коворк появиться плойка стоить уйти иметь ценить потерять плач', 10), ('плойка коворкинг', 2)]"
37,20332,уч ные лэти выяснить холоднокатаный сталь,6,"[('уч ные лэти открыть бутылка казахский коньяк', 7)]"
38,20324,,0,"[('ребята опоздать распить первый пиво', 5), ('тож опоздать', 2), ('план настолько безупречный потерпеть крах', 5), ('пиво классный предмет', 3), ('опоздать полагаться штрафной опоздать', 4), ('план выполнить группа', 3), ('план перевыполнить группа некий мухаммад нажраться', 6), ('план перевыполнить человек попасть больница', 5)]"
39,20309,,0,"[('', 0), ('', 0), ('считать провокация скинуть сюда еврейский песня плейлист сделать', 8), ('оу база навалить сэр', 4)]"
40,20307,,0,"[('', 0), ('светить ультра лайта гигабайт', 4), ('орига', 1)]"
41,20288,битва факультет студент ловить отличный новость начало учебный год студент твой направление мочь ходить бесплатно условие простой проголосовать свой факультет сри запись стена диалог группа угодный ещё большой человек прийти твой факультет большой шанс победа мочь оставить комментарий колпаков осциллограф любой прибор погрешность забыть напугать первак поднятие моральный дух команда твой факультет подробный приз место огромный победа студент бонч смочь ходить наш игротека бесплатно место место маленький студент каждый направление получать зависимость место конкурс зависимость место вуз факультет бесплатно попасть игротека,81,"[('спонсор пост', 2), ('очевидный победитель фкть место большой банально', 6), ('давать переголосовать бонч ходить маг', 5), ('фото пост подразумевать клоунский организация', 5)]"
42,20268,,0,"[('крым щука дерево сучковый', 4), ('забыть', 1), ('назвать весь доказать личный жизнь', 5), ('ваш кафедра', 2)]"
43,20260,,0,"[('', 0), ('ссылочка история мем', 3)]"
44,20257,,0,"[('первак напугать весь мем', 4)]"
45,20256,,0,[]
46,20251,,0,"[('число', 1), ('фух первый пара день логично отчислить', 6), ('видеть число выпуститься', 3)]"
47,20244,,0,"[('рюкзак должный лежать сборник анекдот вуз', 6), ('шутка', 1)]"
48,20238,,0,"[('отправить горный', 2)]"
49,20237,делать весь прошлый внезапно узнать закрывать долг допёс заговор секретный общество поклоняться песня группа алиса,15,[]
50,20230,,0,"[('колпак колпак', 2), ('шрифт обводка имб автор бокал говно', 6), ('кирика мем спереть бог', 4)]"
51,20205,,0,"[('', 0), ('поэтому свечка совершать свой колебание', 5), ('опыт говно', 2), ('клепать свой сюжет', 3)]"
52,20200,вводить абитуриент потихоньку курс дело говорить пользоваться макаронина днк,9,"[('почему мем снова стать хороший', 5)]"
53,20190,,0,"[('админ свой кривая рука сделать погрешность выйти нормальный погрешность', 9), ('перемереть большой', 2), ('установка реальный эксперимент результат получаться каков природа явление получить математический модель который сравнивать кривая построить нормальный слабо позориться', 18)]"
54,20187,добрый день товарищ год существовать асу алкогольный союз университет рамка который успешно провести большой количество мероприятие начинать сходка студент заканчивать деятельность сеть совместный ивента коллаборация вуз замечательный сообщество входить гуап иа панорама гуап техноложка итмый спбгмт иа панорама спбгмт корабелка иа панорама лэти горный наш сообщество постоянно расширяться поэтому рада видеть новый человек встреча надеяться приятно влиться наш движуха активный социальный жизнь очень ценить человек вносить вклад развитие наш дело надеяться присоединиться студент состоять асу университет активный человек вуз ждать кружечка пиво сходка асу ссылка беседа сообщество пгупёс вход запрещ н,91,"[('', 0), ('соревнование', 1)]"
55,20174,,0,"[('традиционно актив мем мирон', 4), ('', 0), ('вызывать людочка шарить', 3)]"
56,20169,абсолютно андрей сергеевич защита домашка,5,"[('беспредел', 1), ('александр киберспортсменович интеграл', 3)]"
57,20154,анон,1,"[('хороший', 1), ('великолепно', 1), ('пояснить пж', 2), ('предмет лаба', 2), ('', 0), ('типо должный смешно', 3)]"
58,20145,,0,"[('админ тупой научиться пользоваться отложка ато сегодня пост выйти завтра', 10), ('объявлять марафон открытый', 3), ('автор чувствовать', 2), ('помнить лицо', 2)]"
59,20140,,0,"[('цэ фейк', 2), ('жиза', 1), ('кинуть ссылка пж', 3), ('гуап', 1), ('', 0), ('фэл написать', 2), ('бонч буревич', 2)]"
60,20139,,0,"[('стоить поступить лэти', 3), ('мило', 1)]"
61,20129,,0,"[('поступить лэти', 2), ('выпуститься лэти', 2)]"
62,20122,немного база гуап,3,"[('мем арабски нужно читать', 4), ('наоборот', 1), ('жесть новый роман получаться', 4), ('общество счастливый человек', 3), ('гуап важный общество позволять вписаться', 5), ('бонч буревич', 2), ('пояснить', 1)]"
63,20111,кинуть анонимно,2,"[('дизлайк поставить', 2), ('отчислить диплом', 2)]"
64,20091,дорогой наш подписчик перешагнуть отметка год идти момент благодарный каждый вклад мем юнить лэти наш план будущее сделать большой конкурс повод завершение конкурс фанкон заходить участвовать условие сложный билет хороший приз радость туда сходить потусим вместе победитель продолжить развитие алкогольный союз университет развитие мемной тусовка студент целое прошлый круглый цифра подружиться множество вуз сделать несколько коллаборация совместный ивент сделать мерч который вс рука доходить главное продолжать радовать новый контент хотеть поделиться свой творчество мочь кинуть мем предложка годный обязательно опубликовать закинуть сво творчество текущий последующий конкурс забывать поддерживать понравиться мем лайк весь огромный вклад достижение наш паблик,97,"[('вообще нгу пош л вс подписаться годный пост встретить группа вуз', 11), ('подписать мем срать смешной коммент', 5), ('понимать повод шуточка нету последний пост сын любой случай поступить бюджет университет бонч буревич прекрасно оставаться', 16), ('', 0)]"
65,20090,,0,[]
66,20067,рубрика мем рандомный человек комм,5,"[('хороший шрека щедрый', 3), ('вхывхв', 1), ('фиона', 1), ('втф любимый одногруппница', 3)]"
67,20064,,0,"[('', 0), ('подонок весь отчислить', 3), ('нужно поступать пгупс', 3)]"
68,20051,,0,"[('краш', 1), ('альт пробраться лэти прекрасно', 4), ('принимать документ мочь сказать пройти', 5)]"
69,20044,,0,"[('недотерпеть приказ', 2), ('поставить ава телега приказ', 4), ('гений', 1)]"
70,20042,,0,"[('мэмный', 1)]"
71,20040,,0,"[('жиза поступить', 2), ('', 0)]"
72,20032,,0,"[('похорошеть контент возвращение андрей игоревич', 5), ('', 0), ('прош л картошкоочистительный', 3), ('поставить дизлайк', 2), ('блатной число', 2), ('дать ссылка оригинальный пост людмила', 5), ('ахахахахахахахах зря сюда док подать', 5), ('фрт', 1)]"
73,20025,начать поступать абитуриент пора выпускать гайда поднятие тяжесть,8,[]
74,20024,киберленин поздравлять международный день пиво товарищ,6,"[('маловатый палец', 2)]"
75,20015,дн м лэтишник товарищ,4,"[('картинка ток перепутать', 3), ('год', 1), ('база', 1), ('ошибка который разделываться сей пора', 5)]"
76,20013,,0,[]
77,20005,,0,"[('кринжовый пост', 2), ('милорд весь спорный пост вести обсуждение админ наш чат публикация пост проведа н опрос стоить публиковать большинство ответить хотеть влиять контент добро пожаловать наш чат', 25), ('бро сожеление дать', 3)]"
78,19998,,0,"[('тема ава прошлый любимый подписчик набрать сотня лайковый', 8), ('бюджет урезать', 2), ('етач', 1), ('прошлый хороший кружочек ровно попадать', 5), ('чзх админ электромем илона', 4)]"
79,19997,,0,[]
