,id_поста,text_tokens,text_length,preprocessed_comments
0,10714,дорогой первокурсник прийти время познакомиться сторона гуап уходить хороший год наш жизнь хотеть представить хороший сми версия ректор гуап иа панорама гуап сообщество учиться стать ждуля отремонтировать жор паблик который надеяться стать новый тиндёр забыть давинчик искать гуап телеграм канал самый отчаянный беседа,43,"[('', 0), ('хороший группа гуап казаться занимать высокий рейтинг топ вуз соц сеть деятельность сообщество', 13)]"
1,10880,,0,[]
2,10873,,0,"[('отправить значок мо золото', 4)]"
3,10868,промокод аэрор скидка первый заказ,5,[]
4,10865,,0,"[('чиф киф поступить радиотехник', 4), ('артур сменить пол ламинат', 4), ('вообще градус', 2)]"
5,10859,,0,"[('год', 1), ('лестница починить', 2)]"
6,10856,,0,"[('', 0), ('сбросить гуап тысяча тон первокурсник', 5)]"
7,10853,,0,[]
8,10847,,0,"[('младший брат', 2)]"
9,10843,выбрать вуз мечта выбрать вуз свой мечта рейтинг стоить обратить внимание поступление команда специалист хотеть сдать подготовить важный информация видео канал хочувсесдать помощьстудент бортникёр рейтинг вуз,26,[]
10,10842,,0,"[('считаться успех', 2)]"
11,10836,,0,"[('лекция физика суббота', 3), ('лекция теорвера суббота единственный пара', 5), ('база выдать', 2), ('первый пара проспать второй проебал пока ехать уник треть пара развернуться поехать домой порог стоять человек военный форма повестка рука фамилия табуретка', 22)]"
12,10835,промокод аэрор скидка первый заказ,5,[]
13,10834,,0,[]
14,10833,,0,[]
15,10829,,0,[]
16,10828,вечеринка лихой танцполый приглашать первый тусовка новый учебный год лихой танцполый готовый окунуться мир сумасшедший студенческий жизнь маскот бесконечный вечеринка наш братство открывать дверь каждый подготовить полноценный обряд посвящение прийтись пройти ряд испытание встретиться новый имя забыть свой прошлый ночь навсегда остаться память сентябрь ласточка транспортный пер вход р промокод скидка билет,52,[]
17,10823,,0,"[('обожать', 1)]"
18,10821,,0,[]
19,10819,,0,[]
20,10810,,0,"[('', 0), ('сладко', 1)]"
21,10808,,0,[]
22,10805,промокод аэрор скидка первый заказ,5,[]
23,10803,,0,"[('слишком л гкий правило переделывать', 5), ('ясно админ паблик сергей павлович', 5)]"
24,10798,,0,"[('гуапчичный', 1), ('аэроор бренд', 2)]"
25,10795,,0,"[('чета слабый', 2), ('любимый корпус гастрит', 3)]"
26,10790,,0,[]
27,10771,,0,[]
28,10768,,0,[]
29,10767,,0,"[('пояснительный бригада', 2)]"
30,10759,,0,"[('второй неделя весь расклеиться', 4)]"
31,10756,дорогой гуапчича весь наш вуз множество студенческий организация который призвать помочь развлечь большинство организация создать студент проводить различный мероприятие стать исключение организовать английский разговорный клуб гуап известный проводить различный образовательный развлекательный мероприятие говорить английский делать коллаборация вуз хотеть прокачать свой уровень английский неплохо владеть язык хотеть постоянно практиковаться милость просить наш уютный клуб рада видеть говориться,56,"[('ссылка группа клуб подобный', 4)]"
32,10755,,0,"[('база выдать', 2)]"
33,10751,промокод аэрор скидка первый заказ,5,[]
34,10749,,0,"[('асуждавать', 1), ('эфектный', 1), ('', 0), ('лиап бардак извинить бородатый анекдот любимый вузик меняться', 8)]"
35,10746,,0,[]
36,10745,,0,[]
37,10739,,0,[]
